ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_max,fiftytwo_week_min,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days
AAPL,235.06,0.94,2.19,44.99,2024-11-26,235.06,2024-11-26,232.87,2024-11-25,0.94,235.06,2024-11-26,222.01,2024-11-04,5.45,236.48,2024-10-21,165.0,2024-04-19,26.62,236.48,2024-10-21,0.05,1982-07-08,183042.71,236.48,165.0,227.32,228.43,205.31,63.27,3.82,1.63,1,0
ABT,117.96,-0.14,-0.17,4.05,2024-11-26,118.13,2024-11-25,117.96,2024-11-26,-0.14,118.6,2024-11-01,115.03,2024-11-14,-0.54,120.96,2024-03-08,100.07,2024-07-18,7.38,141.46,2021-12-27,0.49,1980-03-25,23421.16,120.96,100.07,116.44,115.58,110.89,56.54,2.02,1.71,0,0
ADBE,525.3,1.27,6.57,2.36,2024-11-26,525.3,2024-11-26,518.73,2024-11-25,1.27,532.5,2024-11-13,481.35,2024-11-04,8.8,634.76,2024-02-02,439.02,2024-06-03,-9.44,688.37,2021-11-19,0.21,1986-08-28,248930.51,634.76,439.02,502.72,503.28,517.68,60.68,12.54,2.39,1,0
ADI,219.05,-2.03,-4.53,6.15,2024-11-26,223.58,2024-11-25,219.05,2024-11-26,-2.03,227.77,2024-11-07,206.35,2024-11-15,-2.85,243.33,2024-07-16,183.36,2024-04-19,13.16,243.33,2024-07-16,0.6,1980-03-27,29989.29,243.33,180.57,219.49,224.77,216.0,49.2,6.46,2.95,0,0
AMAT,173.2,-0.77,-1.35,6.42,2024-11-26,174.55,2024-11-25,173.2,2024-11-26,-0.77,194.09,2024-11-07,168.88,2024-11-15,-5.55,254.97,2024-07-10,149.0,2024-01-05,12.2,254.97,2024-07-10,0.08,1980-03-27,181287.84,254.97,144.7,181.15,189.27,203.96,40.32,5.64,3.26,0,1
AMGN,280.01,-4.76,-13.99,16.88,2024-11-26,294.0,2024-11-25,280.01,2024-11-26,-4.76,325.28,2024-11-08,278.76,2024-11-18,-12.28,337.38,2024-09-20,262.75,2024-04-18,-5.84,337.38,2024-09-20,0.08,1984-11-19,81357.46,337.38,262.75,303.94,314.64,305.83,31.61,9.71,3.47,0,0
AMZN,207.86,3.18,6.41,40.82,2024-11-26,207.86,2024-11-26,201.45,2024-11-25,3.18,214.1,2024-11-13,195.78,2024-11-04,5.02,214.1,2024-11-13,144.57,2024-01-04,38.64,214.1,2024-11-13,0.07,1997-05-22,212181.84,214.1,144.52,202.21,193.75,184.12,59.32,5.31,2.56,0,0
AVGO,164.74,-0.05,-0.08,15.85,2024-11-26,164.82,2024-11-25,164.74,2024-11-26,-0.05,183.81,2024-11-07,163.25,2024-11-20,-2.47,185.95,2024-10-09,104.9,2024-01-04,51.78,185.95,2024-10-09,1.45,2009-11-03,10081.71,185.95,90.36,171.43,173.76,151.96,40.44,4.96,3.01,0,0
BIIB,157.69,-0.64,-1.02,1.4,2024-11-26,158.71,2024-11-25,157.69,2024-11-26,-0.64,176.93,2024-11-05,155.43,2024-11-19,-9.26,267.71,2024-01-02,155.43,2024-11-19,-41.1,475.98,2015-03-20,0.35,1994-12-16,4946.08,267.71,155.43,167.47,180.21,206.96,25.68,4.25,2.69,0,0
CDNS,310.1,-0.73,-2.29,1.13,2024-11-26,312.39,2024-11-25,310.1,2024-11-26,-0.73,312.39,2024-11-25,282.09,2024-11-01,9.93,326.5,2024-06-18,246.84,2024-08-05,17.95,326.5,2024-06-18,0.86,1987-12-07,15405.0,326.5,246.84,297.6,280.07,288.53,63.43,8.64,2.79,0,0
CHTR,390.29,1.51,5.82,1.16,2024-11-26,390.29,2024-11-26,384.47,2024-11-25,1.51,408.02,2024-11-06,366.49,2024-11-01,6.49,408.02,2024-11-06,254.61,2024-04-26,-0.31,821.01,2021-09-02,29.5,2010-02-25,1015.11,408.02,254.61,380.46,349.95,313.01,60.03,11.63,2.98,0,0
CMCSA,42.64,-1.3,-0.56,16.76,2024-11-26,43.2,2024-11-25,42.64,2024-11-26,-1.3,45.14,2024-11-06,42.32,2024-11-19,-2.11,46.73,2024-02-01,36.9,2024-06-18,-2.36,61.75,2021-09-02,0.08,1980-03-27,43612.71,46.73,36.9,43.31,42.13,40.45,48.27,0.92,2.16,0,1
COST,971.5,1.1,10.61,1.4,2024-11-26,971.5,2024-11-26,960.89,2024-11-25,1.1,971.5,2024-11-26,877.31,2024-11-01,10.74,971.5,2024-11-26,644.69,2024-01-03,49.31,971.5,2024-11-26,6.03,1987-12-04,8731.82,971.5,587.86,919.55,903.67,826.9,70.46,17.46,1.8,0,0
CSCO,59.59,1.45,0.85,13.77,2024-11-26,59.59,2024-11-26,58.74,2024-11-25,1.45,59.59,2024-11-26,55.5,2024-11-01,7.37,59.59,2024-11-26,44.74,2024-08-05,17.98,80.06,2000-03-27,0.07,1990-10-10,77032.17,59.59,44.74,57.41,55.35,49.88,70.74,0.94,1.58,1,0
GILD,91.35,0.95,0.86,4.29,2024-11-26,91.35,2024-11-26,90.49,2024-11-25,0.95,97.9,2024-11-07,87.75,2024-11-19,2.06,97.9,2024-11-07,63.15,2024-06-18,9.74,122.21,2015-06-23,0.22,1994-06-06,14335.54,97.9,63.15,91.05,87.74,75.34,55.81,1.99,2.18,1,0
GOOGL,169.12,0.88,1.47,20.45,2024-11-26,169.12,2024-11-26,167.65,2024-11-25,0.88,181.62,2024-11-12,164.76,2024-11-22,-1.27,191.18,2024-07-10,131.4,2024-03-06,22.4,191.18,2024-07-10,2.5,2004-09-03,6635.14,191.18,129.27,173.74,168.03,164.2,47.15,4.24,2.51,0,0
ILMN,142.95,-0.6,-0.87,2.43,2024-11-26,143.82,2024-11-25,142.95,2024-11-26,-0.6,155.15,2024-11-07,130.74,2024-11-18,-4.55,155.15,2024-11-07,98.3,2024-05-30,6.79,510.54,2021-08-16,0.88,2003-03-13,650.3,155.15,93.91,144.67,141.15,125.44,51.11,5.21,3.64,0,0
INTC,24.05,-3.3,-0.82,65.94,2024-11-26,24.87,2024-11-25,24.05,2024-11-26,-3.3,26.23,2024-11-07,22.52,2024-11-04,3.66,49.55,2024-01-25,18.89,2024-09-06,-49.69,74.88,2000-08-31,0.22,1982-01-13,7288.16,50.76,18.89,24.17,23.33,30.07,50.49,0.95,3.95,0,0
INTU,638.83,0.66,4.21,1.77,2024-11-26,638.83,2024-11-26,634.62,2024-11-25,0.66,706.25,2024-11-13,618.83,2024-11-05,2.75,706.25,2024-11-13,562.97,2024-05-30,5.81,706.25,2024-11-13,2.02,1993-04-21,24044.76,706.25,562.97,656.14,634.45,633.74,46.47,19.13,3.0,0,0
ISRG,542.1,1.03,5.55,1.13,2024-11-26,542.1,2024-11-26,536.55,2024-11-25,1.03,550.62,2024-11-21,506.34,2024-11-01,7.06,550.62,2024-11-21,322.13,2024-01-03,63.79,550.62,2024-11-21,0.74,2001-04-11,26633.7,550.62,309.52,528.74,506.81,441.48,61.64,10.6,1.95,0,0
KLAC,631.47,-2.05,-13.2,0.91,2024-11-26,644.67,2024-11-25,631.47,2024-11-26,-2.05,687.41,2024-11-08,614.46,2024-11-15,-5.66,892.35,2024-07-10,544.31,2024-01-05,12.68,892.35,2024-07-10,0.6,1982-03-11,54513.62,892.35,528.61,654.14,706.4,735.66,39.03,20.3,3.21,0,0
LRCX,72.69,-1.38,-1.02,7.38,2024-11-26,73.71,2024-11-25,72.69,2024-11-26,-1.38,79.21,2024-11-07,70.05,2024-11-15,-2.82,112.73,2024-07-10,70.05,2024-11-15,-2.99,112.73,2024-07-10,0.07,1990-08-23,32610.53,112.73,69.49,74.39,76.9,88.76,45.15,2.45,3.37,0,0
MDT,85.68,-0.08,-0.07,4.09,2024-11-26,85.75,2024-11-25,85.68,2024-11-26,-0.08,90.11,2024-11-06,84.11,2024-11-20,-4.87,92.27,2024-10-23,76.84,2024-07-08,3.43,135.17,2021-09-08,0.13,1977-10-27,24271.16,92.27,76.84,87.73,88.85,84.46,40.9,1.64,1.91,0,0
META,573.54,1.49,8.43,10.22,2024-11-26,573.54,2024-11-26,565.11,2024-11-25,1.49,591.7,2024-11-07,554.08,2024-11-15,1.12,595.94,2024-10-04,344.47,2024-01-03,65.62,595.94,2024-10-04,17.73,2012-09-04,1400.24,595.94,317.45,572.72,574.12,514.48,52.07,13.85,2.41,0,0
MRNA,42.05,-3.69,-1.61,7.15,2024-11-26,43.66,2024-11-25,42.05,2024-11-26,-3.69,54.63,2024-11-01,36.85,2024-11-15,-23.03,166.61,2024-05-24,36.85,2024-11-15,-62.62,484.47,2021-08-09,12.26,2019-08-05,126.08,166.61,36.85,45.64,53.85,95.65,39.04,3.05,7.26,0,0
MRVL,93.14,0.98,0.9,8.94,2024-11-26,93.14,2024-11-26,92.24,2024-11-25,0.98,93.94,2024-11-07,84.38,2024-11-04,9.87,93.94,2024-11-07,56.15,2024-08-07,60.12,93.94,2024-11-07,2.13,2001-04-04,553.61,93.94,50.43,89.28,81.45,72.52,64.85,2.98,3.2,0,0
MSFT,427.99,2.2,9.2,23.06,2024-11-26,427.99,2024-11-26,418.79,2024-11-25,2.2,427.99,2024-11-26,408.46,2024-11-04,4.29,467.56,2024-07-05,367.75,2024-01-05,15.4,467.56,2024-07-05,0.09,1986-03-24,440119.28,467.56,365.93,419.19,421.52,421.88,57.48,8.08,1.89,1,0
MU,101.8,-2.57,-2.68,19.11,2024-11-26,104.48,2024-11-25,101.8,2024-11-26,-2.57,113.41,2024-11-07,96.34,2024-11-15,2.08,153.45,2024-06-18,79.5,2024-02-16,23.63,153.45,2024-06-18,0.35,1986-12-08,7107.08,153.45,73.13,103.31,103.07,109.8,48.08,3.7,3.64,0,0
NVDA,136.92,0.66,0.9,187.11,2024-11-26,136.92,2024-11-26,136.02,2024-11-25,0.66,148.88,2024-11-07,135.4,2024-11-01,1.12,148.88,2024-11-07,47.57,2024-01-03,184.26,148.88,2024-11-07,0.03,1999-04-26,333720.93,148.88,45.5,142.38,134.82,111.42,45.36,5.29,3.87,0,0
NXPI,228.66,-2.22,-5.19,2.41,2024-11-26,233.85,2024-11-25,228.66,2024-11-26,-2.22,238.59,2024-11-01,217.04,2024-11-15,-4.16,290.78,2024-07-16,205.48,2024-01-17,3.38,290.78,2024-07-16,10.68,2010-08-24,1533.29,290.78,200.03,229.84,233.54,248.21,49.04,7.23,3.16,0,0
ORCL,190.37,1.27,2.38,6.42,2024-11-26,190.37,2024-11-26,187.99,2024-11-25,1.27,192.43,2024-11-21,169.59,2024-11-04,11.97,192.43,2024-11-21,102.46,2024-01-03,82.94,192.43,2024-11-21,0.04,1986-09-11,300775.58,192.43,100.31,183.41,176.43,140.95,63.08,4.1,2.15,0,0
PCAR,115.82,-0.62,-0.72,1.92,2024-11-26,116.54,2024-11-25,115.82,2024-11-26,-0.62,116.8,2024-11-13,103.35,2024-11-01,12.07,124.46,2024-03-27,91.64,2024-08-07,19.67,124.46,2024-03-27,0.62,1980-04-23,13782.81,124.46,90.94,111.71,106.55,106.62,61.66,2.55,2.2,0,0
PYPL,86.94,-0.95,-0.83,5.59,2024-11-26,87.77,2024-11-25,86.94,2024-11-26,-0.95,87.77,2024-11-25,77.25,2024-11-01,12.54,87.77,2024-11-25,56.13,2024-02-08,41.46,308.53,2021-07-23,30.63,2015-09-29,136.83,87.77,56.13,83.35,81.04,68.03,62.47,1.99,2.29,0,0
QCOM,156.93,-1.19,-1.89,9.4,2024-11-26,158.82,2024-11-25,156.93,2024-11-26,-1.19,172.99,2024-11-06,154.27,2024-11-20,-5.05,227.09,2024-06-18,136.17,2024-01-04,11.91,227.09,2024-06-18,0.41,1992-09-23,27798.67,227.09,126.59,164.17,167.43,176.35,41.08,5.26,3.35,0,0
REGN,753.03,0.47,3.52,0.73,2024-11-26,753.03,2024-11-26,749.51,2024-11-25,0.47,843.6,2024-11-01,738.0,2024-11-22,-10.74,1201.76,2024-08-27,738.0,2024-11-22,-16.79,1201.76,2024-08-27,3.0,1994-12-30,3464.64,1201.76,738.0,804.05,929.11,999.62,21.5,21.47,2.85,0,0
SBUX,100.68,-1.14,-1.16,6.55,2024-11-26,101.84,2024-11-25,100.68,2024-11-26,-1.14,102.5,2024-11-22,96.08,2024-11-06,1.83,102.5,2024-11-22,72.5,2024-05-07,7.48,126.06,2021-07-26,0.34,1992-06-26,29869.82,102.5,72.5,98.75,97.3,87.9,57.08,2.09,2.08,0,0
SNPS,553.95,-1.41,-7.92,0.76,2024-11-26,561.87,2024-11-25,553.95,2024-11-26,-1.41,573.59,2024-11-07,518.4,2024-11-01,6.86,621.3,2024-07-05,463.97,2024-09-06,11.02,621.3,2024-07-05,5.66,1992-07-27,6934.29,621.3,463.97,543.22,523.09,549.24,56.2,15.59,2.81,0,0
STX,101.66,0.3,0.3,2.2,2024-11-26,101.66,2024-11-26,101.36,2024-11-25,0.3,105.11,2024-11-07,96.79,2024-11-15,2.57,112.64,2024-10-22,80.11,2024-01-09,22.94,116.02,2022-01-04,3.11,2009-01-23,784.0,112.64,76.95,100.22,104.68,97.95,50.64,2.39,2.36,0,0
SWKS,86.28,-1.88,-1.65,1.74,2024-11-26,87.93,2024-11-25,86.28,2024-11-26,-1.88,91.17,2024-11-07,83.18,2024-11-13,-2.96,120.68,2024-07-16,83.18,2024-11-13,-20.92,199.66,2021-04-26,0.58,1991-12-11,1328.08,120.68,83.18,87.3,93.09,100.65,42.77,2.45,2.84,0,0
TER,109.06,-1.45,-1.61,1.77,2024-11-26,110.67,2024-11-25,109.06,2024-11-26,-1.45,111.64,2024-11-07,102.58,2024-11-15,2.41,163.0,2024-07-16,95.14,2024-02-01,4.09,168.56,2021-12-27,0.33,1974-12-23,8906.24,163.0,91.22,107.3,119.24,123.79,46.44,3.29,3.02,0,0
TMO,512.98,-0.24,-1.22,1.51,2024-11-26,514.2,2024-11-25,512.98,2024-11-26,-0.24,560.79,2024-11-05,501.29,2024-11-18,-8.05,624.21,2024-09-10,501.29,2024-11-18,-5.73,667.24,2021-12-31,1.0,1982-08-11,24764.52,624.21,485.92,535.32,571.78,577.15,30.04,11.22,2.19,0,0
TSLA,338.23,-0.11,-0.36,61.44,2024-11-26,338.59,2024-11-25,338.23,2024-11-26,-0.11,352.56,2024-11-22,242.84,2024-11-04,35.85,352.56,2024-11-22,142.05,2024-04-22,36.15,409.97,2021-11-04,1.05,2010-07-07,21136.71,352.56,142.05,307.3,268.51,213.31,63.27,17.42,5.15,0,0
TXN,200.95,-0.98,-1.98,5.14,2024-11-26,202.93,2024-11-25,200.95,2024-11-26,-0.98,220.29,2024-11-08,198.0,2024-11-22,-1.94,220.29,2024-11-08,156.85,2024-02-13,18.72,220.29,2024-11-08,1.25,1974-09-27,11707.93,220.29,152.71,206.39,204.54,191.32,46.07,5.4,2.69,0,0
VRTX,467.07,1.16,5.36,1.33,2024-11-26,467.07,2024-11-26,461.71,2024-11-25,1.16,516.74,2024-11-08,448.01,2024-11-19,-0.86,516.74,2024-11-08,392.81,2024-04-30,13.67,516.74,2024-11-08,3.38,1992-06-18,10279.33,516.74,347.04,476.69,473.29,454.78,47.18,12.54,2.68,1,0
WDC,73.02,5.17,3.59,10.64,2024-11-26,73.02,2024-11-26,69.43,2024-11-25,5.17,73.02,2024-11-26,62.73,2024-11-13,10.84,80.24,2024-07-10,49.43,2024-01-09,43.57,114.28,2014-12-22,0.69,1978-12-18,6390.67,80.24,46.77,66.53,66.73,67.87,66.09,2.31,3.16,1,0
